account_number,customer_name,account_type,branch_id,balance,total_transactions,total_credit_amount,total_debit_amount
ACC00000001,,Current,BR018,924368.38,25,264464.92,640396.35
ACC00000002,,Savings,BR014,322201.11,10,48421.93000000001,66684.45
ACC00000003,Upma Sharma,Fixed Deposit,BR016,420188.49,25,163127.03,266966.54
ACC00000004,Upma Sharma,Current,BR020,124923.86,50,671311.1900000001,844397.27
ACC00000005,Utkarsh Nair,Current,BR015,701378.9,25,214923.59000000003,439245.48000000004
ACC00000006,,Savings,BR015,388859.38,25,49647.89,429241.97
ACC00000008,Anusha Ravi,Savings,BR007,412619.3,50,572210.35,636295.89
ACC00000009,,Savings,BR016,321493.78,10,145595.71,135202.83000000002
ACC00000010,Neha Dash,Savings,BR004,417777.8,50,491519.13,990395.98
ACC00000011,,Current,BR008,1615025.72,10,251732.99,206181.43
ACC00000012,,Savings,BR005,324633.45,25,524644.13,450082.39
ACC00000013,,Current,BR009,398192.11,25,371207.91000000003,455188.43
ACC00000014,,Fixed Deposit,BR004,3602157.44,50,347826.6,992914.82
ACC00000015,,Savings,BR005,334096.63,10,211692.19,128277.45
ACC00000016,,Fixed Deposit,BR007,4117687.22,25,129956.59999999999,401991.01
ACC00000017,,Current,BR014,213548.29,10,186021.15,53267.399999999994
ACC00000018,Kritika Tandon,Savings,BR017,312514.74,25,314365.12,475589.71
ACC00000019,Kritika Tandon,Savings,BR011,301884.82,25,81803.57,652684.25
ACC00000020,Kritika Tandon,Fixed Deposit,BR007,2269779.18,50,886959.13,1050186.81
ACC00000021,Maanas Chahal,Current,BR018,368213.32,50,552046.4299999999,1124231.63
ACC00000022,Advik Wason,Fixed Deposit,BR017,3806822.5,25,45377.37,583572.0
ACC00000023,Bhavna Talwar,Fixed Deposit,BR008,2679561.01,25,111634.32999999999,506218.77999999997
ACC00000024,,Fixed Deposit,BR008,3412266.17,50,583631.67,772390.32
ACC00000025,,Current,BR013,389370.5,25,189888.58,454736.57
ACC00000026,Rayaan Kata,Current,BR019,1046075.83,25,373865.42,452236.84
ACC00000027,Rayaan Kata,Savings,BR013,453821.57,25,269976.26999999996,388769.28
ACC00000029,Gayathri Mahal,Fixed Deposit,BR015,4463644.71,10,50776.96,161811.65
ACC00000030,Omisha Oommen,Savings,BR009,415182.62,50,646066.85,767670.7
ACC00000031,,Current,BR001,1023932.79,50,598170.95,623572.91
ACC00000032,,Current,BR011,1600591.53,25,169738.13,397549.29
ACC00000033,,Current,BR008,470632.15,25,131354.27000000002,376582.41000000003
ACC00000034,,Current,BR005,985842.38,10,21728.940000000002,159487.21
ACC00000035,,Savings,BR019,185787.83,10,11164.220000000001,278731.45
ACC00000036,,Fixed Deposit,BR017,2458390.93,25,37122.090000000004,413553.25
ACC00000037,,Current,BR001,1313132.31,10,46969.18,203850.79
ACC00000039,Wriddhish Parikh,Savings,BR007,414436.74,50,378642.06,763196.45
ACC00000040,Azad Munshi,Savings,BR007,151452.28,25,516651.64,456022.53
ACC00000041,Bhavini Sidhu,Savings,BR019,402363.37,25,157992.5,630961.94
ACC00000042,,Current,BR012,469586.78,25,450631.34,417661.46
ACC00000043,,Fixed Deposit,BR004,685079.84,50,291376.27,1002183.47
ACC00000044,Maanav Sandal,Savings,BR012,6881.18,10,283969.64999999997,77478.58
ACC00000045,Maanav Sandal,Savings,BR017,216735.07,25,138895.95,514188.5
ACC00000046,,Fixed Deposit,BR002,4350029.19,50,656078.38,633670.14
ACC00000048,Zaid Shankar,Savings,BR008,493149.82,50,522344.83999999997,758287.92
ACC00000050,,Current,BR016,252244.93,25,191794.94,320366.26
ACC00000051,,Fixed Deposit,BR007,3021307.02,25,250968.58,559559.6900000001
ACC00000052,,Fixed Deposit,BR017,3660161.15,10,122350.37,137513.8
ACC00000053,Hardik Loke,Current,BR004,392789.76,25,213509.66,369690.04
ACC00000054,Hardik Loke,Current,BR017,414129.43,25,436921.71,383485.44
ACC00000055,Ranbir Boase,Current,BR012,797649.49,10,6408.71,167081.95
ACC00000056,Ranbir Boase,Fixed Deposit,BR019,615861.94,25,254339.0,560959.33
ACC00000057,,Savings,BR002,149333.6,50,104292.14,1085574.58
ACC00000058,Barkha Pathak,Current,BR013,1883365.53,10,39306.8,86508.32
ACC00000059,Lavanya Srinivas,Current,BR016,501576.41,25,252266.59,272543.27
ACC00000060,Ryan Pillai,Savings,BR004,305401.17,50,351703.02,889337.47
ACC00000061,Ryan Pillai,Savings,BR015,403212.41,25,385668.65,246770.08000000002
ACC00000062,Rohan Bains,Current,BR015,347672.91,10,100302.19,135217.89
ACC00000064,,Fixed Deposit,BR011,4248492.51,50,669718.8,1109657.98
ACC00000065,Siya Varughese,Savings,BR016,359844.2,10,7442.55,191340.47
ACC00000066,Siya Varughese,Savings,BR015,30820.67,25,212474.74,442988.93
ACC00000067,Siya Varughese,Fixed Deposit,BR010,3832235.4,10,3678.42,162917.84
ACC00000068,,Current,BR014,106243.96,10,69743.87,221665.61
ACC00000069,,Savings,BR006,135726.61,25,114838.29,357253.64
ACC00000070,,Savings,BR013,199158.54,25,252566.93,280483.48
ACC00000071,,Fixed Deposit,BR008,2807727.74,50,504185.85,975369.7000000001
ACC00000073,Kalpit Mangat,Fixed Deposit,BR004,927199.68,25,16327.220000000001,693492.42
ACC00000074,Kalpit Mangat,Current,BR019,86857.2,25,73624.51000000001,378077.83
ACC00000075,Kalpit Mangat,Current,BR015,1405759.08,10,46440.19,172582.5
ACC00000076,,Savings,BR010,259676.32,10,285031.59,88913.83
ACC00000077,Girindra Bajaj,Savings,BR010,265875.18,25,397922.36,444261.59
ACC00000078,Anya Sheth,Fixed Deposit,BR017,3188955.52,25,402736.91000000003,463648.86
ACC00000079,,Savings,BR006,102062.56,10,805.59,263919.67
ACC00000080,,Fixed Deposit,BR002,329876.86,25,374513.63,378730.64
ACC00000081,Samar Swamy,Current,BR020,657620.12,50,570237.61,1070506.58
ACC00000082,,Current,BR011,1985054.52,50,604094.84,791775.0
ACC00000083,,Fixed Deposit,BR006,3442712.53,25,336295.31999999995,419012.95999999996
ACC00000085,Jonathan Sama,Fixed Deposit,BR006,3781026.7,10,12008.380000000001,93649.75
ACC00000086,Nisha Dugal,Fixed Deposit,BR002,2822878.69,25,31997.379999999997,485700.04
ACC00000087,,Current,BR013,1889600.83,25,312850.36,262570.05
ACC00000088,Dev Sandal,Current,BR006,608352.21,10,135596.8,155937.74
ACC00000089,Yochana Nagi,Current,BR016,65447.2,50,825198.04,800659.26
ACC00000090,,Current,BR009,701878.03,25,461553.35000000003,456020.78
ACC00000091,Lekha Rajan,Fixed Deposit,BR017,3137683.67,50,612355.79,610531.56
ACC00000092,Lekha Rajan,Current,BR014,1466930.69,25,317809.15,335607.3
ACC00000093,,Fixed Deposit,BR001,3397141.66,10,3847.14,215889.63
ACC00000094,,Fixed Deposit,BR001,602801.23,50,145887.84,989225.0599999999
ACC00000095,,Current,BR013,1092006.87,25,292270.68,456406.85
ACC00000096,Chandani Batta,Current,BR011,155196.84,10,270526.52999999997,109538.83
ACC00000097,Chandani Batta,Savings,BR016,262527.04,25,232923.55,492328.76
ACC00000098,,Savings,BR010,105197.6,10,18150.72,90693.90999999999
ACC00000099,,Savings,BR003,305014.33,50,844820.3,827695.89
ACC00000100,,Savings,BR018,426046.4,50,598547.99,801759.04
ACC00000101,,Savings,BR010,334199.6,25,340156.72,376979.13
ACC00000102,,Fixed Deposit,BR011,4076482.46,25,64813.39,490621.13
ACC00000103,Hardik Batra,Current,BR013,653582.6,25,512898.87,236242.71000000002
ACC00000104,Upasna Taneja,Savings,BR011,468294.49,25,371248.89,365283.67
ACC00000105,Osha Buch,Current,BR001,657592.03,25,144471.97999999998,402355.55
ACC00000106,Osha Buch,Current,BR004,482122.66,25,144291.2,556362.14
ACC00000107,,Fixed Deposit,BR020,3253320.68,25,174355.78,759620.11
ACC00000108,,Fixed Deposit,BR012,4654155.72,25,87758.99,517938.17
