customer_id,customer_name,total_accounts,total_balance,total_transactions,total_credit_amount,total_debit_amount
CUST000001,Teerth Parmar,1,924368.38,25,264464.92,640396.35
CUST000002,Indrajit Bajaj,1,322201.11,10,48421.93000000001,66684.45
CUST000003,Upma Sharma,2,545112.35,75,834438.22,1111363.81
CUST000004,Utkarsh Nair,1,701378.9,25,214923.59000000003,439245.48000000004
CUST000005,Liam Agrawal,1,388859.38,25,49647.89,429241.97
CUST000006,Anusha Ravi,1,412619.3,50,572210.35,636295.89
CUST000007,Yashvi Ghose,1,321493.78,10,145595.71,135202.83000000002
CUST000008,Neha Dash,1,417777.8,50,491519.13,990395.98
CUST000009,Zashil Desai,1,1615025.72,10,251732.99,206181.43
CUST000010,Ekta Edwin,1,324633.45,25,524644.13,450082.39
CUST000011,Sachi Gala,2,4000349.55,75,719034.51,1448103.25
CUST000012,Dominic Shanker,2,4451783.850000001,35,341648.79,530268.46
CUST000013,Laban Amble,1,213548.29,10,186021.15,53267.399999999994
CUST000014,Kritika Tandon,3,2884178.74,100,1283127.82,2178460.77
CUST000015,Maanas Chahal,1,368213.32,50,552046.4299999999,1124231.63
CUST000016,Advik Wason,1,3806822.5,25,45377.37,583572.0
CUST000017,Bhavna Talwar,1,2679561.01,25,111634.32999999999,506218.77999999997
CUST000018,Tarak Pant,2,3801636.67,75,773520.25,1227126.89
CUST000019,Rayaan Kata,2,1499897.4,50,643841.69,841006.12
CUST000020,Isha Mallick,0,0.0,0,0.0,0.0
CUST000021,Gayathri Mahal,1,4463644.71,10,50776.96,161811.65
CUST000022,Omisha Oommen,1,415182.62,50,646066.85,767670.7
CUST000023,Nandini Pillai,1,1023932.79,50,598170.95,623572.91
CUST000024,Gopal Saraf,1,1600591.53,25,169738.13,397549.29
CUST000026,Meera Baral,1,985842.38,10,21728.940000000002,159487.21
CUST000027,Naksh Tata,2,2644178.7600000002,35,48286.31,692284.7
CUST000028,Wahab Kaul,1,1313132.31,10,46969.18,203850.79
CUST000029,Manthan Raman,0,0.0,0,0.0,0.0
CUST000030,Wriddhish Parikh,1,414436.74,50,378642.06,763196.45
CUST000031,Azad Munshi,1,151452.28,25,516651.64,456022.53
CUST000032,Bhavini Sidhu,1,402363.37,25,157992.5,630961.94
CUST000033,Aadhya Kannan,2,1154666.62,75,742007.61,1419844.93
CUST000034,Maanav Sandal,2,223616.25,35,422865.6,591667.08
CUST000036,Zaid Shankar,1,493149.82,50,522344.83999999997,758287.92
CUST000037,Sudiksha Chakraborty,0,0.0,0,0.0,0.0
CUST000038,Yadavi Ben,2,3273551.95,50,442763.52,879925.95
CUST000039,Vedika Doshi,1,3660161.15,10,122350.37,137513.8
CUST000040,Hardik Loke,2,806919.19,50,650431.37,753175.48
CUST000041,Ranbir Boase,2,1413511.43,35,260747.71,728041.28
CUST000043,Barkha Pathak,1,1883365.53,10,39306.8,86508.32
CUST000044,Lavanya Srinivas,1,501576.41,25,252266.59,272543.27
CUST000045,Ryan Pillai,2,708613.58,75,737371.67,1136107.55
CUST000046,Rohan Bains,1,347672.91,10,100302.19,135217.89
CUST000047,Mason Loke,0,0.0,0,0.0,0.0
CUST000048,Avni Dave,1,4248492.51,50,669718.8,1109657.98
CUST000049,Siya Varughese,3,4222900.27,45,223595.71,797247.24
CUST000052,Kalpit Mangat,3,2419815.96,60,136391.92,1244152.75
CUST000053,Anya Sood,1,259676.32,10,285031.59,88913.83
CUST000054,Girindra Bajaj,1,265875.18,25,397922.36,444261.59
CUST000055,Anya Sheth,1,3188955.52,25,402736.91000000003,463648.86
CUST000056,Chandani Gara,1,102062.56,10,805.59,263919.67
CUST000057,Tristan Khurana,1,329876.86,25,374513.63,378730.64
CUST000058,Samar Swamy,1,657620.12,50,570237.61,1070506.58
CUST000060,Jonathan Sama,1,3781026.7,10,12008.380000000001,93649.75
CUST000061,Nisha Dugal,1,2822878.69,25,31997.379999999997,485700.04
CUST000062,Harish Natarajan,1,1889600.83,25,312850.36,262570.05
CUST000063,Dev Sandal,1,608352.21,10,135596.8,155937.74
CUST000064,Yochana Nagi,1,65447.2,50,825198.04,800659.26
CUST000065,Tejas Bora,1,701878.03,25,461553.35000000003,456020.78
CUST000066,Lekha Rajan,2,4604614.359999999,75,930164.9400000001,946138.86
CUST000067,Rachana Iyengar,1,3397141.66,10,3847.14,215889.63
CUST000068,Ekani Rout,2,1694808.1,75,438158.52,1445631.91
CUST000069,Chandani Batta,2,417723.88,35,503450.07999999996,601867.59
CUST000070,Wriddhish Ramakrishnan,1,105197.6,10,18150.72,90693.90999999999
CUST000071,Gautami Viswanathan,1,305014.33,50,844820.3,827695.89
CUST000074,Hardik Batra,1,653582.6,25,512898.87,236242.71000000002
CUST000075,Upasna Taneja,1,468294.49,25,371248.89,365283.67
CUST000076,Osha Buch,2,1139714.69,50,288763.18,958717.69
CUST000078,Qarin Kade,1,4654155.72,25,87758.99,517938.17
CUST000079,Sai Magar,1,4807704.93,50,505884.72000000003,526108.41
CUST000080,Tanvi Ravel,1,64357.69,25,349367.75,335162.76
CUST000081,Bimala Ramachandran,3,2499114.8200000003,85,617205.51,1364382.81
CUST000082,Akshay Pall,1,326931.79,50,411798.04,834784.9
CUST000083,Nathaniel Chowdhury,2,4260626.55,20,76528.40000000001,163526.77
CUST000084,Vasudha Karnik,2,812868.5900000001,50,432901.58,976190.22
CUST000085,Ekantika Atwal,2,1943758.0799999998,50,937619.9299999999,733596.0499999999
CUST000086,Zashil Rastogi,1,138377.77,25,225929.04,509122.77
CUST000087,Sathvik Magar,3,4978118.9,85,1413332.34,1176073.82
CUST000088,Raksha Patil,1,126119.67,50,547317.63,871043.4500000001
CUST000089,Warjas Murthy,2,2612762.65,75,799769.16,1063417.51
CUST000090,Baljiwan Sule,1,490026.13,10,153720.53,199165.13
CUST000092,Chandresh Chhabra,0,0.0,0,0.0,0.0
CUST000093,Tanveer Pau,0,0.0,0,0.0,0.0
CUST000094,Vincent Jain,1,1257625.95,25,275452.49,515211.12
CUST000095,Nisha Mohanty,3,6326920.53,150,1528524.05,2395567.7
CUST000096,Ekta Ramakrishnan,2,1562408.46,100,1158542.31,1747107.25
CUST000097,Jagat Talwar,0,0.0,0,0.0,0.0
CUST000098,Falguni Saha,1,2830526.97,10,24220.72,64122.17
CUST000099,Aashi Subramanian,1,1057325.8,50,631079.59,859742.11
CUST000101,Laksh Talwar,1,306564.33,25,210562.38,496586.87
CUST000102,Hemani Kala,1,467653.65,50,636659.86,840877.5
CUST000103,Arjun Puri,2,5018344.340000001,50,502470.46,799327.41
CUST000104,Amaira Jani,2,3189481.9299999997,60,438904.28,1197044.76
CUST000105,Hemang Rai,1,465305.32,50,461731.22,853244.9400000001
CUST000106,Jalsa Bhattacharyya,2,1698738.6700000002,60,421691.69,1130904.24
CUST000108,David Sastry,1,3335428.97,50,473395.36,1128592.37
CUST000109,Lohit Sundaram,1,663828.21,25,42969.61,476637.02
CUST000110,Rachit Shan,1,296985.84,10,174119.21,128694.37000000001
CUST000111,Gavin Brar,1,125273.61,25,161565.38,387335.94
CUST000112,Kritika Jain,2,4792519.88,35,779483.6799999999,406773.69
CUST000113,Vansha Ratta,2,451960.72000000003,50,315444.53,1186267.19
CUST000114,Varsha Bhavsar,1,1306605.22,25,117599.14,281897.71
CUST000115,Janya Brar,1,69963.9,25,494121.22,425382.10000000003
CUST000116,Kashvi Sachdeva,2,2442531.93,35,119934.64,610713.58
CUST000117,Omkaar Basak,3,2678648.89,100,1009205.34,1718114.5
CUST000118,Aarush Dani,1,1505375.19,25,219136.47999999998,506486.54000000004
CUST000120,Abha Barman,3,2201492.65,85,1073952.22,1534237.8699999999
CUST000121,Barkha Das,1,265167.53,25,116552.59999999999,467990.13
CUST000122,Warjas Comar,3,4096436.76,70,785208.31,1155571.95
CUST000123,Falak Amble,2,2709136.9000000004,60,611476.69,1279376.23
CUST000124,Upma Sarraf,1,1019974.1,25,337940.63,366394.95
CUST000125,Ubika Dora,2,3692474.91,35,245804.46000000002,642566.98
CUST000127,Ojas Memon,1,478723.38,10,181528.38999999998,197704.7
CUST000128,Samarth Parikh,1,287787.6,25,208099.69,521914.12
CUST000129,Alka Bhavsar,1,385401.92,10,100015.37999999999,206914.88
CUST000130,Nirja Sachdeva,1,3166172.5,50,631375.8099999999,820591.61
CUST000131,Harshil Sinha,1,2844380.23,10,235074.16,130659.0
CUST000132,Shaurya Mital,2,2401463.2600000002,75,1025752.7200000001,1119922.43
CUST000134,Naksh Sandal,1,938503.1,10,240178.37,99734.92
CUST000135,Pushti Palla,1,2841983.16,25,216013.61,460062.72
CUST000136,Ubika Gupta,3,9893852.629999999,125,1278495.95,2318911.58
CUST000137,Reyansh Gupta,1,3159244.26,25,531129.53,282515.62
CUST000138,Bachittar Chaudhuri,1,4752689.25,50,248003.92,740845.01
CUST000139,Ria Balan,1,325205.67,50,109833.14,1088075.01
CUST000140,Aradhana Mallick,1,103268.32,10,104752.98000000001,195580.51
CUST000141,Laban Khosla,1,3442031.7,10,154228.41999999998,191868.77
CUST000142,Rishi Kant,2,2002607.72,75,1000206.27,1340622.71
CUST000143,Faras Bath,2,4921069.21,50,450007.28,745578.77
CUST000144,Rudra Bhalla,1,1014723.64,25,312772.89999999997,490027.04000000004
CUST000145,Andrew Dhawan,1,726919.78,25,112135.2,472349.08999999997
CUST000146,Kai Bains,2,1310296.58,50,301967.86,716225.96
CUST000147,Triveni Balay,1,2546340.14,25,402684.93000000005,470651.62
CUST000148,Zashil Kala,1,1051111.27,25,327371.71,445161.07
CUST000149,Jyoti Parikh,2,173203.64,100,1202516.21,1885313.66
CUST000150,Praneel Madan,1,142168.66,10,134184.06,151423.37
CUST000151,Ojasvi Mani,2,1349409.18,60,403266.39999999997,1134345.47
CUST000152,Libni Buch,1,707207.71,25,171351.47999999998,540674.36
CUST000154,Eshana Bedi,2,2182530.33,100,837066.39,1860735.47
CUST000155,Adweta Dayal,1,4002074.95,10,26612.01,213477.81
CUST000156,Chatresh Shere,2,2077204.11,75,1146785.3800000001,1247409.07
CUST000157,Anthony Garg,2,946399.6,75,779320.37,1116660.46
CUST000158,Aarnav Saran,1,31319.75,50,781487.75,655249.37
CUST000160,Ishanvi Dewan,1,4540750.62,50,488588.0,794882.04
CUST000161,Jeevika Deep,2,2084549.5299999998,100,825886.84,1883537.16
CUST000162,Pooja Mane,2,4479022.69,35,135100.95,580752.14
CUST000163,Yashvi Dara,3,938726.98,100,754725.79,1829968.55
CUST000164,Amaira Bhatnagar,1,4526805.67,25,42667.59,835856.53
CUST000165,Mahika Patla,1,2014409.64,10,7816.17,166182.03
CUST000166,Krisha Warrior,0,0.0,0,0.0,0.0
CUST000169,Widisha Singh,1,364952.61,25,219971.37,388406.43
CUST000170,Harita Bhatia,2,3117295.1399999997,75,645989.56,1446149.93
CUST000171,Alka Kari,3,2067386.13,125,1694122.89,1755094.02
CUST000172,Warhi Dube,1,2902720.22,50,487395.4,1041470.98
CUST000173,Brijesh Setty,1,4625491.01,25,377223.94,644254.14
CUST000174,Charles Bail,1,70149.64,10,125848.17,229302.15
CUST000175,Lipika Bhagat,2,1550302.27,50,585384.17,792713.67
CUST000176,Rachita Wagle,1,207194.33,25,107949.81,324949.99
CUST000177,Naksh Gokhale,1,492711.26,25,315990.06,383552.33999999997
CUST000178,Amol Brahmbhatt,3,3609031.24,70,515744.63,1233758.24
CUST000179,Ayush Karpe,1,482856.64,50,336100.74,812023.92
CUST000180,Bhanumati Nair,1,454231.36,50,843914.53,529740.9
CUST000181,Wakeeta Pau,1,3956975.96,50,457188.11,1054830.71
CUST000182,Jeevika Garg,2,1851807.8699999999,50,740319.1,741532.2
CUST000183,Saumya Raju,2,1682119.6700000002,50,756492.78,684565.46
CUST000184,Laksh Bassi,1,3392059.8,25,259276.52,610685.78
CUST000185,Dominic Upadhyay,1,1640519.13,25,583973.01,292673.04
CUST000186,Falak Dani,1,885574.02,25,169242.15,611425.34
CUST000187,Libni Muni,1,130666.48,25,101654.02,471410.38
CUST000188,Xavier Kala,2,2560266.8,50,545911.33,705494.19
CUST000189,Lila Panchal,2,4290710.63,35,146870.72,586499.29
CUST000190,Anthony Puri,1,170849.04,50,373146.64999999997,480708.17000000004
CUST000191,Qabil Raja,1,104920.73,50,537076.72,870711.16
CUST000195,Charvi Sinha,1,877284.42,25,439527.18,506496.71
CUST000196,Tripti Ram,1,4069786.87,10,80314.73000000001,246097.51
CUST000197,Harshil Baral,1,29381.91,10,7834.66,160700.9
CUST000198,Garima Majumdar,2,1104077.44,100,1315728.5,1507210.34
CUST000199,Sara Shetty,2,1095958.96,20,274445.18000000005,259017.98
CUST000200,Lajita Madan,1,684926.5,25,441273.62,296474.79
CUST000201,Elijah Kurian,1,397542.74,50,402909.55,1145120.82
