transaction_id,account_number,amount,transaction_type,transaction_mode,description,transaction_date
TXN000001,ACC00000001,49425.54,Debit,NEFT,Loan EMI Payment,2025-07-13 18:48:25
TXN000002,ACC00000001,32661.56,Debit,NEFT,Loan EMI Payment,2024-09-21 07:19:10
TXN000003,ACC00000001,6507.74,Debit,UPI,Utility Bill Payment,2026-03-01 21:09:16
TXN000004,ACC00000001,62269.26,Debit,NEFT,Investment in Mutual Funds,2025-10-13 13:29:00
TXN000005,ACC00000001,13664.76,Credit,Cash,Cash Deposit,2025-10-05 15:24:02
TXN000006,ACC00000001,1880.93,Credit,NEFT,Interest Credit,2025-08-17 17:58:45
TXN000007,ACC00000001,1267.15,Debit,NEFT,Insurance Premium Payment,2024-12-28 11:42:42
TXN000008,ACC00000001,32634.82,Debit,NEFT,Insurance Premium Payment,2025-11-16 00:14:51
TXN000009,ACC00000001,94124.13,Debit,NEFT,Loan EMI Payment,2024-10-04 16:35:06
TXN000010,ACC00000001,61021.21,Debit,NEFT,Investment in Mutual Funds,2026-06-27 01:56:45
TXN000011,ACC00000001,60217.97,Debit,NEFT,Loan EMI Payment,2025-02-23 14:17:34
TXN000012,ACC00000001,1505.38,Debit,UPI,Utility Bill Payment,2025-10-04 11:35:58
TXN000013,ACC00000001,48341.42,Debit,NEFT,Insurance Premium Payment,2025-07-26 09:25:12
TXN000014,ACC00000001,6306.61,Debit,NEFT,Investment in Mutual Funds,2026-02-02 14:54:59
TXN000015,ACC00000001,43770.39,Debit,NEFT,Investment in Mutual Funds,2024-10-16 05:24:57
TXN000016,ACC00000001,70590.69,Debit,NEFT,Investment in Mutual Funds,2026-06-15 01:48:09
TXN000017,ACC00000001,58418.7,Credit,NEFT,Salary Credit,2026-05-02 23:50:21
TXN000018,ACC00000001,5541.31,Debit,UPI,Utility Bill Payment,2025-12-29 21:37:17
TXN000019,ACC00000001,46971.86,Debit,NEFT,Insurance Premium Payment,2025-01-04 16:25:28
TXN000020,ACC00000001,6981.9,Debit,UPI,Utility Bill Payment,2025-10-22 05:19:09
TXN000021,ACC00000001,16338.37,Credit,Cash,Cash Deposit,2025-11-09 12:17:35
TXN000022,ACC00000001,10257.41,Debit,UPI,Restaurant Payment,2025-12-30 06:56:35
TXN000023,ACC00000001,2357.27,Credit,UPI,Refund,2026-04-14 01:40:39
TXN000024,ACC00000001,92917.87,Credit,NEFT,Salary Credit,2026-01-18 18:19:23
TXN000025,ACC00000001,78887.02,Credit,NEFT,Salary Credit,2026-04-29 22:09:18
TXN000026,ACC00000002,15080.85,Debit,UPI,Grocery,2025-11-14 20:59:53
TXN000027,ACC00000002,633.12,Credit,NEFT,Interest Credit,2025-10-01 06:48:51
TXN000028,ACC00000002,1013.57,Debit,ATM,ATM Withdrawal,2024-09-24 14:00:03
TXN000029,ACC00000002,13985.38,Debit,NEFT,Investment in Mutual Funds,2024-09-14 00:27:38
TXN000030,ACC00000002,9028.36,Debit,UPI,Grocery,2025-06-07 06:54:22
TXN000031,ACC00000002,38392.23,Credit,Cash,Cash Deposit,2025-11-04 08:21:45
TXN000032,ACC00000002,15630.69,Debit,ATM,ATM Withdrawal,2025-06-03 20:33:21
TXN000033,ACC00000002,9396.58,Credit,Cash,Cash Deposit,2024-12-24 17:36:55
TXN000034,ACC00000002,7997.39,Debit,UPI,Utility Bill Payment,2025-06-05 12:57:40
TXN000035,ACC00000002,3948.21,Debit,UPI,Grocery,2026-06-16 09:54:17
TXN000036,ACC00000003,3592.8,Credit,UPI,Refund,2025-08-12 08:24:20
TXN000037,ACC00000003,50710.65,Debit,NEFT,Investment in Mutual Funds,2024-08-22 22:10:35
TXN000038,ACC00000003,14082.71,Debit,NEFT,Insurance Premium Payment,2025-12-13 23:06:47
TXN000039,ACC00000003,29729.6,Debit,NEFT,Insurance Premium Payment,2025-10-29 16:04:44
TXN000040,ACC00000003,23029.8,Debit,NEFT,Insurance Premium Payment,2026-01-04 08:47:12
TXN000041,ACC00000003,4123.46,Debit,UPI,Restaurant Payment,2025-11-08 12:53:00
TXN000042,ACC00000003,2752.59,Debit,UPI,Grocery,2026-04-28 07:12:51
TXN000043,ACC00000003,15628.89,Debit,ATM,ATM Withdrawal,2025-03-26 20:53:15
TXN000044,ACC00000003,7266.53,Debit,UPI,Grocery,2025-04-19 06:58:01
TXN000045,ACC00000003,34779.0,Debit,NEFT,Insurance Premium Payment,2026-03-21 23:48:51
TXN000046,ACC00000003,3737.08,Debit,ATM,ATM Withdrawal,2026-03-24 01:38:44
